date,site,latitude,longitude,co,nox,no2,o3,so2,pm10,pm25
2016-08-07 17:00:00,Aberdeen Union Street Roadside,57.144555,-2.106472,,157.36098,48.30449,,,,
2019-08-12 00:00:00,Aberdeen Union Street Roadside,57.144555,-2.106472,,11.49781,6.17938,,,,
2017-02-04 08:00:00,Birkenhead Borough Road,53.388624,-3.024942,,9.90914,8.81041,,,,
2020-01-02 23:00:00,Ballymena Ballykeel,54.861595,-6.250873,,29.25835,25.56596,,,,
2017-04-10 21:00:00,Barnsley Gawber,53.56292,-1.510436,,6.32602,5.13843,52.5368,0.89513,,
2023-10-06 22:00:00,Ballymena Antrim Road,54.851491,-6.274961,,26.49552,20.40544,,,,
2017-06-05 00:00:00,Birkenhead Borough Road,53.388624,-3.024942,,25.64854,21.53794,,,,
2020-12-09 12:00:00,Aston Hill,52.50385,-3.034178,,1.21918,0.82298,60.76907,,,
2016-04-05 07:00:00,Armagh Roadside,54.353728,-6.654558,,87.78184,31.86321,,,23.9,
2022-08-03 21:00:00,Belfast Centre,54.59965,-5.928833,0.089829,13.53394,11.94096,67.25509,0.79101,15.3,8.042
2021-08-11 10:00:00,Ballymena Antrim Road,54.851491,-6.274961,,70.628,32.84954,,,,
2020-03-07 16:00:00,Aston Hill,52.50385,-3.034178,,1.64202,1.0063,51.28949,,,
2023-08-10 15:00:00,Ballymena Ballykeel,54.861595,-6.250873,,9.18,7.2675,,1.19741,,
2019-06-07 16:00:00,Belfast Stockman's Lane,54.572586,-5.974944,,56.77305,27.59998,,,10.833,
2022-07-12 21:00:00,Birkenhead Borough Road,53.388624,-3.024942,,,,,,,
2020-09-01 05:00:00,Billingham,54.60537,-1.275039,,10.65822,9.4099,,,,
2022-02-02 13:00:00,Billingham,54.60537,-1.275039,,12.99177,9.48203,,,,
2019-08-06 01:00:00,Ballymena Antrim Road,54.851491,-6.274961,,11.1797,8.45336,,,,
2022-01-03 02:00:00,Bath A4 Roadside,51.390922,-2.35503,,14.23455,9.20603,,,,
2023-02-02 19:00:00,Bath A4 Roadside,51.390922,-2.35503,,21.90913,10.74203,,,,
2020-05-06 15:00:00,Aston Hill,52.50385,-3.034178,,1.17917,0.54066,80.82585,,,
2018-05-12 22:00:00,Armagh Roadside,54.353728,-6.654558,,99.8255,38.63183,,,21.7,
2022-11-11 10:00:00,Armagh Roadside,54.353728,-6.654558,,36.22522,16.56045,,,17.392,
2023-12-01 22:00:00,Aston Hill,52.50385,-3.034178,,1.06218,0.81862,,,,
2019-09-08 20:00:00,Ballymena Antrim Road,54.851491,-6.274961,,21.76831,9.7053,,,,
2015-08-03 19:00:00,Billingham,54.60537,-1.275039,,28.87397,25.34254,,,,
2021-10-07 13:00:00,Barnsley Gawber,53.56292,-1.510436,,8.49787,6.86556,54.88175,1.50698,,
2020-06-12 22:00:00,Billingham,54.60537,-1.275039,,17.07089,14.0325,,,,
2022-01-12 05:00:00,Bath A4 Roadside,51.390922,-2.35503,,34.41675,20.14638,,,,
2018-02-01 17:00:00,Ballymena Ballykeel,54.861595,-6.250873,,47.15906,34.14094,,,,
2021-08-09 22:00:00,Billingham,54.60537,-1.275039,,29.5344,28.80843,,,,
2015-10-08 15:00:00,Belfast Stockman's Lane,54.572586,-5.974944,,214.2263,80.52581,,,15.574,
2019-12-09 08:00:00,Birkenhead Borough Road,53.388624,-3.024942,,48.4269,23.89072,,,,
2018-01-09 00:00:00,Birmingham A4540 Roadside,52.476145,-1.874978,,163.41877,69.58767,1.06437,,46.5,27.8
2021-04-06 22:00:00,Birkenhead Borough Road,53.388624,-3.024942,,18.84496,17.97214,,,,
2021-10-03 10:00:00,Birkenhead Borough Road,53.388624,-3.024942,,28.06534,17.10801,,,,
2023-09-05 15:00:00,Billingham,54.60537,-1.275039,,36.27183,23.28616,,,,
2017-01-07 17:00:00,Aberdeen Union Street Roadside,57.144555,-2.106472,,60.40932,20.97668,,,,
2019-06-06 17:00:00,Aberdeen Wellington Road,57.133888,-2.094198,,53.28468,23.25597,,,,
2016-05-07 19:00:00,Aberdeen Union Street Roadside,57.144555,-2.106472,,74.45028,27.01789,,,,
2022-06-08 03:00:00,Barnsley Gawber,53.56292,-1.510436,,6.01923,5.52163,36.97034,1.01481,,
2019-06-09 12:00:00,Billingham,54.60537,-1.275039,,12.51306,7.01532,,,,
2017-06-04 03:00:00,Belfast Stockman's Lane,54.572586,-5.974944,,41.01022,22.05734,,,11.3,
2021-10-04 10:00:00,Birmingham Ladywood,52.481346,-1.918235,,14.89559,10.14744,71.44065,,11.3,7.547
